ID,GENDER,DEGREE,AGE_RANGE,BLACK,LGBTQIA_PLUS,STATE,CONTRACT,WORK_PLACE,COMPANY_TYPE,COMPANY_SIZE,ANDROID_ACTIVITY,WORK_LEVEL,ANDROID_SIZE,COMPANY_IN_BRAZIL,COMPANY_STATE,COMPANY_REGION,SALARY_RANGE,BENEFITS,ABROAD_COMPANY_CONTINENT,ABROAD_CURRENCY,ABROAD_SALARY_RANGE,ABROAD_RELOCATION_AID
219,M,Ensino superior incompleto,30-39,N,N,E-EU,CLT,,TEC,501,Android Primário,Líder Técnico,11,N,,,,,EU,EUR,3000-6000,S
220,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,3-5,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Auxílio creche, Home office parcial",,,,
221,M,Ensino superior completo,21-29,N,N,B-SC,SOC,Totalmente remoto,TEC,1-5,Android Primário,Pleno,1-2,S,SC,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Auxílio para Estacionamentoudos, Home office parcial, Outros",,,,
222,F,Ensino superior incompleto,21-29,N,S,B-MG,CLT,Remoto devido ao COVID,TEC,501,Android Primário,Júnior,11,S,MG,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office parcial",,,,
223,M,Ensino superior completo,21-29,S,N,B-MG,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Auxílio creche",,,,
224,M,Ensino superior completo,30-39,N,N,B-RJ,CLT,Parcialmente presencial,EDU,501,Android Primário,Pleno,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial, 13º Salário",,,,
225,M,Ensino superior incompleto,30-39,N,N,B-MG,CLT,Totalmente presencial,TEC,101-500,Android Primário,Pleno,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office parcial",,,,
226,M,Ensino superior incompleto,21-29,N,N,B-MG,NTR,,,,,,,,,,,,,,,
227,M,Ensino superior completo,21-29,S,N,B-PE,CLT,Parcialmente presencial,TEC,501,Android Primário,Líder Técnico,11,S,PE,Região metropolitana,6000-9000,"Plano de saúde, Home office liberado",,,,
228,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,ALI,51-100,Android Primário,Pleno,1-2,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale refeição, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Academia",,,,
229,M,Ensino superior completo,21-29,S,N,B-SC,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Sênior,5-10,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Home office parcial, Outros, Participação nos lucros",,,,
230,M,Ensino superior completo,21-29,N,N,B-SC,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Líder Técnico,3-5,N,,,,,AN,USD,3000-6000,N/A
231,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,11-50,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Home office parcial",,,,
232,M,Mestrado,40-49,S,N,B-MG,CLT,Totalmente presencial,FIN,501,Android Primário,Especialista,11,S,MG,Região metropolitana,12000-15000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office parcial, Home office liberado",,,,
233,M,Ensino superior completo,21-29,N,N,B-OU,CLT,Totalmente presencial,TEC,6-10,Android Primário,Pleno,3-5,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida, Home office parcial, Férias, 13º Salário",,,,
234,F,Ensino superior completo,21-29,N,N,B-MG,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Academia",,,,
235,M,Ensino superior incompleto,21-29,N,N,B-RJ,CLT,Parcialmente presencial,OUT,51-100,Android Primário,Pleno,3-5,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida",,,,
236,M,Ensino superior incompleto,21-29,N,N,B-SP,CLT,Remoto devido ao COVID,TEC,101-500,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office liberado, 13º Salário, Outros",,,,
237,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,OUT,101-500,Android Primário,Pleno,11,S,SP,Interior,3000-6000,"Férias, 13º Salário",,,,
238,M,Ensino superior completo,21-29,N,N,E-EU,PJS,Parcialmente presencial,FIN,11-50,Android Primário,Pleno,1-2,N,,,,,EU,EUR,1000-3000,S
239,M,Ensino superior completo,30-39,N,N,E-EU,CLT,Totalmente presencial,FIN,101-500,Android Primário,Sênior,11,S,SP,Região metropolitana,15001,"Plano de saúde, Vale alimentação, Vale transporte",,,,
240,M,Ensino superior completo,21-29,N,N,B-PE,CLT,Totalmente remoto,TEC,101-500,Android Primário,Pleno,11,S,PE,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte",,,,
241,M,Ensino superior completo,30-39,N,N,B-SC,CLT,Totalmente presencial,TEC,101-500,Android Primário,Pleno,11,S,SC,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office parcial",,,,
242,M,Ensino superior incompleto,30-39,N,N,B-SP,CLT,Totalmente presencial,TEC,501,Android Primário,Especialista,11,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida",,,,
243,M,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,TEC,51-100,Android Secundário,Líder Técnico,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição",,,,
244,M,Ensino superior incompleto,21-29,N,N,B-OU,PJS,Totalmente remoto,TEC,501,Android Primário,Sênior,3-5,S,RJ,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Home office liberado",,,,
245,M,Ensino superior incompleto,21-29,N,N,B-SP,EST,Totalmente remoto,ALI,501,Android Primário,Estagiário/Trainee,11,S,SP,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Auxílio para Auxílio para eventosntos, Férias, 13º Salário",,,,
246,M,Ensino superior completo,30-39,N,N,B-BA,CLT,Parcialmente presencial,TEC,11-50,Android Primário,Júnior,3-5,S,BA,Região metropolitana,3000-6000,"Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário, Academiademia, Participação nos lucros",,,,
247,M,Ensino superior completo,21-29,N,N,B-MG,CLT,Parcialmente presencial,TEC,0,Android Primário,Pleno,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office liberado, Outros",,,,
248,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Parcialmente presencial,OUT,501,Android Primário,Pleno,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale refeição, Seguro de vida, Home office liberado",,,,
249,M,Ensino superior completo,30-39,S,S,B-BA,CLT,,VAR,101-500,Não relacionado,,,,,,,,,,,
250,M,Ensino superior completo,21-29,N,N,E-EU,CLT,Parcialmente presencial,VAR,501,Android Primário,Sênior,5-10,N,,,,,EU,EUR,3000-6000,S
251,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Totalmente remoto,FIN,51-100,Android Primário,Sênior,1-2,S,SP,Região metropolitana,12000-15000,"Auxílio para Auxílio para eventosntos, Home office parcial, Férias",,,,
252,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,VAR,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,Home office parcial,,,,
253,F,Mestrado,21-29,N,N,B-CE,CLT,Remoto devido ao COVID,FIN,501,Android Primário,Pleno,1-2,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Academia",,,,
254,M,Ensino superior completo,21-29,N,N,B-ES,PJS,Totalmente remoto,COM,0,Android Primário,Sênior,1-2,N,,,,,AN,USD,6000-9000,N/A
255,F,Pós-graduação,30-39,N,N,E-AN,PJS,Totalmente remoto,TEC,51-100,Android Primário,Sênior,11,S,SP,Região metropolitana,12000-15000,"Estacionamentoacionamento, Auxílio para Auxílio para eventosntos, Férias, 13º Salário",,,,
256,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,FIN,101-500,Android Primário,Sênior,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Seguro de vida, Auxílio creche",,,,
257,M,Pós-graduação,30-39,N,N,B-SP,PJS,Totalmente remoto,OUT,101-500,Android Primário,Sênior,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para estudos",,,,
258,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Totalmente presencial,COM,11-50,Android Primário,Sênior,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
259,M,Ensino superior incompleto,18-20,N,N,B-SC,PJS,Totalmente remoto,TEC,11-50,Android Primário,Júnior,1-2,S,RJ,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
260,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,OUT,101-500,Android Secundário,Sênior,5-10,N,,,,,EU,EUR,3000-6000,S
261,M,Ensino superior completo,21-29,N,N,B-RS,PJS,Totalmente presencial,TEC,101-500,Android Primário,Pleno,3-5,S,RS,Região metropolitana,6000-9000,Home office parcial,,,,
262,F,Ensino superior incompleto,21-29,S,S,B-BA,CLT,Totalmente remoto,FIN,101-500,Android Primário,Júnior,5-10,S,RS,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Férias, 13º Salário",,,,
263,M,Ensino superior completo,21-29,N,N,B-PR,PJS,Parcialmente presencial,TEC,11-50,Android Primário,Líder Técnico,11,S,PR,Região metropolitana,6000-9000,"Férias, Nenhum benefício",,,,
264,M,Ensino superior completo,21-29,N,S,B-SP,CLT,Totalmente remoto,FIN,501,Android Secundário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Estacionamentoacionamento, Home office parcial, Home office liberado, Férias, 13º Salário",,,,
265,M,Ensino superior incompleto,21-29,S,N,B-BA,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Júnior,11,S,BA,Região metropolitana,1000-3000,"Vale alimentação, Vale refeição",,,,
266,M,Pós-graduação,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Auxílio para Estacionamentoudos, Auxílio para eventos",,,,
267,M,Ensino superior completo,40-49,S,N,B-GO,CLT,Totalmente presencial,MOB,51-100,Android Secundário,Pleno,1-2,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para Auxílio para eventosntos, Home office parcial, Férias, 13º Salário",,,,
268,M,Ensino superior completo,30-39,N,N,B-SP,CLT,Parcialmente presencial,LOG,101-500,Android Primário,Pleno,5-10,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio para estudos",,,,
269,M,Ensino superior completo,21-29,N,N,B-BA,SOC,Totalmente remoto,TEC,6-10,Android Primário,Outro,1-2,S,SP,Região metropolitana,3000-6000,Home office parcial,,,,
270,F,Ensino superior completo,21-29,N,N,B-MG,CLT,Totalmente remoto,TEC,501,Android Primário,Pleno,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida",,,,
271,M,Ensino superior incompleto,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte",,,,
272,M,Ensino superior incompleto,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,0,Android Primário,Sênior,5-10,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte",,,,
273,M,Ensino superior completo,21-29,N,N,B-PR,CLT,Totalmente remoto,TEC,11-50,Android Primário,Pleno,3-5,S,PR,Região metropolitana,3000-6000,Nenhum benefício,,,,
274,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,101-500,Android Primário,Júnior,11,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado, Férias, 13º Salário",,,,
275,F,Pós-graduação,21-29,N,N,B-RS,CLT,Totalmente remoto,TEC,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação, Seguro de vida",,,,
276,M,Ensino superior completo,30-39,S,N,B-RJ,PJS,Totalmente presencial,TEC,11-50,Android Primário,Pleno,1-2,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Home office parcial",,,,
277,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,TEC,501,Android Secundário,Pleno,1-2,S,SP,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Auxílio para Estacionamentoudos, Home office parcial",,,,
278,M,Ensino superior completo,21-29,S,N,B-BA,CLT,,TEC,501,Não relacionado,,,,,,,,,,,
279,M,Ensino superior incompleto,21-29,N,N,B-SC,PJS,Totalmente remoto,OUT,51-100,Android Primário,,1-2,N,,,,,EU,EUR,1000-3000,N/A
280,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Remoto devido ao COVID,TEC,101-500,Android Primário,Líder Técnico,11,S,MG,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte",,,,
281,M,Pós-graduação,21-29,N,N,B-PR,CLT,Totalmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, 13º Salário",,,,
282,F,Pós-graduação,21-29,N,N,B-MG,PJS,Totalmente remoto,TEC,11-50,Android Primário,Líder Técnico,3-5,S,RS,Região metropolitana,6000-9000,Férias,,,,
283,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,OUT,101-500,Android Primário,Pleno,1-2,S,SP,Interior,3000-6000,Home office parcial,,,,
284,M,Pós-graduação,30-39,N,N,B-SP,CLT,Totalmente presencial,MOB,501,Android Primário,Sênior,11,S,SP,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Home office parcial",,,,
285,M,Ensino superior completo,21-29,N,N,B-PE,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,PE,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale transporte, Seguro de vida, Home office parcial",,,,
286,M,Ensino superior completo,21-29,N,N,B-MS,CLT,Totalmente remoto,VAR,101-500,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Home office liberado, Participação nos lucros",,,,
287,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
288,M,Ensino superior incompleto,30-39,N,N,B-BA,PJS,Totalmente remoto,MOB,101-500,Android Primário,Sênior,3-5,S,SP,Região metropolitana,6000-9000,Nenhum benefício,,,,
289,M,Pós-graduação,30-39,N,N,B-MG,CLT,Parcialmente presencial,TEC,11-50,Android Primário,Sênior,1-2,S,MG,Região metropolitana,6000-9000,"Vale refeição, Vale transporte, Home office parcial",,,,
290,M,Ensino superior completo,30-39,N,N,E-EU,PJS,Parcialmente presencial,FIN,501,Android Primário,Sênior,11,N,,,,,EU,EUR,3000-6000,S
291,M,Pós-graduação,21-29,N,N,B-SC,CLT,Parcialmente presencial,TEC,101-500,Android Primário,Pleno,1-2,S,SC,Região metropolitana,3000-6000,Férias,,,,
292,M,Mestrado,30-39,N,N,E-EU,CLT,Totalmente presencial,OUT,101-500,Android Primário,Pleno,1-2,N,,,,,EU,EUR,3000-6000,N/A
293,M,Ensino superior incompleto,21-29,N,N,B-RJ,CLT,Totalmente presencial,ENT,501,Android Primário,Sênior,11,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Home office parcial, Home office liberado, Participação nos lucros",,,,
294,M,Pós-graduação,21-29,N,N,B-GO,PJS,Totalmente remoto,TEC,51-100,Android Primário,Júnior,5-10,S,SP,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Estacionamentoacionamento, Home office parcial",,,,
295,M,Ensino superior completo,21-29,S,N,E-EU,CLT,Parcialmente presencial,COM,101-500,Android Primário,Sênior,3-5,N,,,,,EU,OUT,3000-6000,N
296,M,Ensino superior completo,21-29,N,N,B-SP,PJS,Totalmente remoto,TEC,501,Android Primário,Sênior,11,N,,,,,AS,USD,3000-6000,N/A
297,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Parcialmente presencial,FIN,501,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche, Home office parcial",,,,
298,M,Ensino superior incompleto,21-29,N,N,B-OU,PJS,Totalmente remoto,FIN,501,Android Primário,Pleno,11,S,RJ,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Seguro de vida",,,,
299,M,Ensino superior completo,18-20,N,N,B-OU,CLT,Totalmente remoto,ALI,101-500,Android Primário,Pleno,11,S,BA,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Auxílio para eventosntos, Home office parcial, 13º Salário",,,,
300,M,Ensino superior incompleto,21-29,N,N,B-SC,PJS,Totalmente remoto,FIN,1-5,Android Primário,Sênior,1-2,S,SP,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Férias, 13º Salário",,,,
301,M,Ensino superior completo,21-29,N,N,B-SC,CLT,Totalmente remoto,FIN,6-10,Android Primário,Júnior,1-2,S,SC,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
302,M,Ensino superior incompleto,30-39,N,N,B-RS,CLT,Totalmente presencial,FIN,501,Android Primário,Sênior,3-5,S,RS,Região metropolitana,6000-9000,"Home office parcial, Home office liberado",,,,
303,F,Pós-graduação,30-39,N,N,B-SP,CLT,Parcialmente presencial,COM,501,Android Primário,Sênior,1-2,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche, Home office liberado",,,,
304,M,Ensino superior completo,30-39,S,N,B-ES,CLT,Totalmente remoto,FIN,6-10,Android Primário,Júnior,1-2,S,ES,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial, Academia",,,,
305,M,Ensino superior completo,30-39,N,N,B-RJ,CLT,Parcialmente presencial,VAR,501,Android Secundário,Sênior,11,N,,,,,EU,BRL,9000-12000,N/A
306,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,FIN,501,Android Primário,Especialista,5-10,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale alimentação, Estacionamentoacionamento, Seguro de vida, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office parcial",,,,
307,M,Ensino superior completo,21-29,N,S,B-SP,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição",,,,
308,M,Ensino superior incompleto,30-39,N,N,B-SP,CLT,Parcialmente presencial,OUT,101-500,Android Primário,Líder Técnico,3-5,S,SP,Região metropolitana,15001,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio creche",,,,
309,M,Pós-graduação,21-29,N,N,B-MG,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Seguro de vida, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
310,M,Ensino superior incompleto,21-29,N,N,B-SP,PJS,Parcialmente presencial,TEC,51-100,Android Primário,Pleno,3-5,S,SP,Região metropolitana,12000-15000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte",,,,
311,M,Ensino superior incompleto,21-29,N,N,B-RS,CLT,Parcialmente presencial,TEC,501,Android Primário,Pleno,11,S,RS,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Estacionamentoacionamento, Auxílio creche, Auxílio para Estacionamentoudos, Auxílio para Auxílio para eventosntos, Home office liberado",,,,
312,M,Ensino superior incompleto,18-20,N,S,B-BA,CLT,Remoto devido ao COVID,TEC,101-500,Android Secundário,Júnior,11,S,BA,Região metropolitana,1000-3000,"Plano de saúde, Plano odontológico, Vale refeição, Vale transporte, Home office parcial",,,,
313,M,Ensino médio completo,21-29,N,N,B-RJ,NTR,,,,,,,,,,,,,,,
314,M,Pós-graduação,21-29,S,N,B-MG,CLT,Totalmente remoto,FIN,101-500,Android Primário,Pleno,3-5,S,MG,Interior,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Seguro de vida, Auxílio creche",,,,
315,M,Ensino superior incompleto,21-29,N,N,B-MG,CLT,Totalmente presencial,OUT,501,Android Primário,Especialista,5-10,S,MG,Região metropolitana,6000-9000,"Plano de saúde, Plano odontológico, Vale alimentação, Vale refeição, Vale transporte, Estacionamentoacionamento, Seguro de vida, Auxílio para Estacionamentoudos, Home office parcial",,,,
316,M,Ensino superior completo,30-39,S,N,B-OU,CLT,Totalmente presencial,TEC,101-500,Android Primário,Especialista,5-10,S,PR,Região metropolitana,3000-6000,"Vale alimentação, Home office liberado, Férias, 13º Salário",,,,
317,M,Pós-graduação,30-39,N,N,B-GO,CLT,Parcialmente presencial,TEC,51-100,Android Primário,Sênior,3-5,S,OU,Interior,6000-9000,Home office parcial,,,,
318,M,Ensino superior completo,21-29,N,N,B-OU,CLT,Parcialmente presencial,TEC,501,Android Primário,Sênior,11,S,SP,Região metropolitana,6000-9000,Nenhum benefício,,,,
319,O,Ensino superior incompleto,30-39,N,N,B-BA,EST,,TEC,6-10,Não relacionado,,,,,,,,,,,
320,M,Ensino superior completo,30-39,N,N,B-SP,PJS,Totalmente presencial,TEC,6-10,Android Primário,Pleno,11,S,SP,Região metropolitana,3000-6000,"Plano de saúde, Vale alimentação, Vale refeição, Vale transporte, Home office liberado",,,,
321,M,Ensino superior completo,21-29,N,S,B-OU,CLT,Parcialmente presencial,TEC,11-50,Android Primário,Especialista,5-10,S,OU,Região metropolitana,3000-6000,"Plano de saúde, Plano odontológico, Vale alimentação, Estacionamentoacionamento, Auxílio creche, Home office parcial",,,,
322,M,Ensino superior completo,21-29,N,N,B-SP,CLT,Totalmente presencial,TEC,0,Android Primário,Pleno,11,S,SP,Região metropolitana,6000-9000,"Plano de saúde, Vale alimentação, Vale transporte, Seguro de vida, Home office liberado, Outros",,,,
323,M,Ensino superior completo,21-29,N,N,B-SP,PJS,,FIN,501,Não relacionado,,,,,,,,,,,
